,Description,House_Type,Location,Price
116,4 BEDROOM HOUSE FOR RENT,Luxury 4 Bedroom Terraced Duplex + Bq,Old Ikoyi Lagos," ₦ 25,000,000/year "
117,5 BEDROOM HOUSE FOR RENT,5 Bedroom Semi Detached Duplex,Katampe Ext Abuja," ₦ 25,000,000/year "
118,7 BEDROOM HOUSE FOR RENT,7 Bedroom Mansion,"Diplomatic Zone, Maitama Abuja"," ₦ 70,000,000/year "
119,4 BEDROOM HOUSE FOR RENT,4 Bedroom Semi Detached Duplex,"Naf Valley Estate, Diplomatic Zone, Asokoro Abuja"," ₦ 8,000,000/year "
120,4 BEDROOM HOUSE FOR RENT,Newly Built 4 Bedroom Terrace Duplex,Old Ikoyi Ikoyi Lagos," ₦ 16,000,000/year "
121,4 BEDROOM HOUSE FOR RENT,Serviced 4 Bedroom Terraced Duplex,Orchid Chevron Lekki Lagos," ₦ 4,500,000/year "
122,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terrace Duplex,Lekki Lagos," ₦ 8,000,000/year "
123,4 BEDROOM HOUSE FOR RENT,New 4 Bedroom Terraced Duplex + 1 Room Bq,"Diplomatic Zone, Guzape Abuja"," ₦ 8,000,000/year "
124,1 BEDROOM FLAT / APARTMENT FOR RENT,Newly Built Mini Flat,Oniru Victoria Island Lagos," ₦ 5,500,000/year "
125,4 BEDROOM HOUSE FOR RENT,4 Bedroom Fully Detached Duplex,Yakoyo Ojodu Lagos," ₦ 3,500,000/year "
126,5 BEDROOM HOUSE FOR RENT,Furnished 5 Bedroom Detached Duplex,Chevron Lekki Lagos," ₦ 10,000,000/year "
127,2 BEDROOM HOUSE FOR RENT,2 Bedroom Apartment,Ligali Ayorinde Victoria Island Lagos," ₦ 8,000,000/year "
128,6 BEDROOM HOUSE FOR RENT,6 Bedroom Mansion,Diplomatic Zone Asokoro Abuja," ₦ 40,000,000/year "
129,4 BEDROOM HOUSE FOR RENT,4 Bedroom Semi Detached Duplex + Pool,Banana Island Ikoyi Lagos," ₦ 30,000,000/year "
130,4 BEDROOM HOUSE FOR RENT,4 Bedroom Detached Duplex,Orchid Chevron Lekki Lagos," ₦ 8,000,000/year "
131,2 BEDROOM HOUSE FOR RENT,Beautiful 2 Bedroom Apartment,Ikate Lekki Lagos," ₦ 3,500,000/year "
132,5 BEDROOM HOUSE FOR RENT,5 Bedroom Detached Duplex,Ikate Lekki Lagos," ₦ 13,000,000/year "
133,4 BEDROOM HOUSE FOR RENT,New 4 Bedroom Semi Detached Duplex,Chevron Lekki Lagos," ₦ 5,000,000/year "
