,Description,House_Type,Location,Price
382,3 BEDROOM HOUSE FOR RENT,Newly Built 3 Bedroom Terrace Duplex,Victoria Nest Estate Vgc Lekki Lagos," ₦ 4,000,000/year "
383,4 BEDROOM HOUSE FOR RENT,Newly Built 4 Bedroom Terraced Duplex,Victoria Nest Estate Vgc Lekki Lagos," ₦ 4,500,000/year "
384,1 BEDROOM FLAT / APARTMENT FOR RENT,Newly Built 1 Bedroom Apartment,"Yesufu Abiodun, Oniru Victoria Island Lagos"," ₦ 3,500,000/year "
385,4 BEDROOM HOUSE FOR RENT,4 Bedroom Semi Detached Duplex + 1 Room Bq,"Crest Villa End Estate, Ologolo Lekki Lagos"," ₦ 6,000,000/year "
386,3 BEDROOM FLAT / APARTMENT FOR RENT,Serviced 3 Bedroom Flat With Bq,Rainbow Drive Oregun Ikeja Lagos," ₦ 4,500,000/year "
387,2 BEDROOM FLAT / APARTMENT FOR RENT,2 Bedroom Apartment,Sterling Cooperative (greenbay Estate) Ikota Lekki Lagos," ₦ 2,800,000/year "
388,3 BEDROOM FLAT / APARTMENT FOR RENT,Exclusive 3 Bedroom Apartment,Abijo Gra Abijo Ajah Lagos," ₦ 1,500,000/year "
389,4 BEDROOM HOUSE FOR RENT,A Nice 4 Bedroom Duplex,Agala Estate Agodi Ibadan Oyo," ₦ 2,500,000/year "
390,3 BEDROOM FLAT / APARTMENT FOR RENT,A Nice 3 Bedroom Flat With Aircons,Kolapo Ishola Gra Akobo Ibadan Oyo," ₦ 2,000,000/year "
391,4 BEDROOM HOUSE FOR RENT,Luxury 4 Bedroom Terraced Duplex + Bq,Old Ikoyi Ikoyi Lagos," ₦ 17,000,000/year "
392,1 BEDROOM FLAT / APARTMENT FOR RENT,1 Ensuite Room In A Shared Apartment,"Van Daniels Estate Orchid, Chevron Lekki Lagos"," ₦ 900,000/year "
393,4 BEDROOM HOUSE FOR RENT,Luxury 4 Bedroom Terraced Duplex + Bq,Chevron Lekki Lagos," ₦ 5,000,000/year "
394,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terrace Duplex,Chevron Lekki Lagos," ₦ 4,000,000/year "
395,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terrace Duplex,Chevron Lekki Lagos," ₦ 4,500,000/year "
396,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terrace Duplex,Chevron Lekki Lagos," ₦ 4,000,000/year "
397,4 BEDROOM HOUSE FOR RENT,Serviced 4 Bedroom Penthouse,Ikate Lekki Lagos," ₦ 8,000,000/year "
398,4 BEDROOM HOUSE FOR RENT,4 Bedroom Massionette,Ikate Lekki Lagos," ₦ 8,500,000/year "
399,2 BEDROOM HOUSE FOR RENT,2 Bedroom Apartment,Ikate Lekki Lagos," ₦ 6,000,000/year "
400,5 BEDROOM HOUSE FOR RENT,Luxury 5 Bedroom Detached Duplex + Bq,Osapa London Lekki Lagos," ₦ 9,500,000/year "
401,2 BEDROOM HOUSE FOR RENT,2 Bedroom Apartment,Lekki Lagos," ₦ 7,000,000/year "
402,4 BEDROOM HOUSE FOR RENT,4 Bedroom Semi Detached Duplex With Bq,Toll Gate Orchid Road Chevron Lekki Lagos," ₦ 4,000,000/year "
403,4 BEDROOM HOUSE FOR RENT,4 Bedroom Semi Detached Duplex + Bq,Osapa London Lekki Lagos," ₦ 6,500,000/year "
404,4 BEDROOM HOUSE FOR RENT,Luxury 4 Bedroom Terraced Duplex,"Chevron Toll Gate, Chevron Lekki Lagos"," ₦ 3,800,000/year "
405,5 BEDROOM HOUSE FOR RENT,Luxury 5 Bedroom Detached Duplex + Bq,"Chevron Toll Gate, Chevron Lekki Lagos"," ₦ 12,000,000/year "
406,4 BEDROOM HOUSE FOR RENT,Serviced 4 Bedroom Terraced Duplex,"Chevron Toll Gate Orchid Road, Chevron Lekki Lagos"," ₦ 4,000,000/year "
407,2 BEDROOM HOUSE FOR RENT,Contemporary 2 Bedroom Apartment,Oniru Victoria Island Lagos," ₦ 8,000,000/year "
408,5 BEDROOM HOUSE FOR RENT,5 Bedroom Detached Duplex With Bq,Lekki Phase 1 Lekki Lagos," ₦ 25,000,000/year "
409,2 BEDROOM HOUSE FOR RENT,Serviced 2 Bedroom Apartment,Ikate Lekki Lagos," ₦ 4,000,000/year "
410,4 BEDROOM HOUSE FOR RENT,Luxury 4 Bedroom Maisonette + Bq,Parkview Estate Ikoyi Lagos," ₦ 14,000,000/year "
411,3 BEDROOM HOUSE FOR RENT,Luxury 3 Bedroom Terraced Duplex,"Chevron Toll Gate, Orchid Road, Chevron Lekki Lagos"," ₦ 3,500,000/year "
412,COMMERCIAL PROPERTY FOR RENT,Hotel Space,Egbeda Alimosho Lagos," ₦ 4,500,000/year "
413,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terrace Duplex,Ologolo Lekki Lagos," ₦ 8,000,000/year "
414,4 BEDROOM HOUSE FOR RENT,4 Bedroom Fully Detached Duplex,Ilaje Ajah Lagos," ₦ 3,500,000/year "
415,4 BEDROOM HOUSE FOR RENT,Spacious 4 Bedroom Detached Duplex,"Lekki Palm City Estate, Ado Ajah Lagos"," ₦ 4,200,000/year "
416,4 BEDROOM HOUSE FOR RENT,Luxury 4 Bedroom Semi Detached Duplex + Bq,"Lekki County Homes, Ikota Lekki Lagos"," ₦ 5,500,000/year "
417,2 BEDROOM FLAT / APARTMENT FOR RENT,Serviced 2 Bedroom Apartment,Ikate Lekki Lagos," ₦ 3,000,000/year "
418,4 BEDROOM HOUSE FOR RENT,Luxury 4 Bedroom Semi Detached Duplex + Bq,Ikota Lekki Lagos," ₦ 5,000,000/year "
419,5 BEDROOM HOUSE FOR RENT,Luxury 5 Bedroom Semi Detached Duplex + Bq,Ikate Lekki Lagos," ₦ 10,000,000/year "
420,4 BEDROOM HOUSE FOR RENT,Luxury 4 Bedroom Semi Detached Duplex,"Chevron Toll Gate, Lekki Lagos"," ₦ 6,000,000/year "
421,4 BEDROOM HOUSE FOR RENT,Serviced 4 Bedroom Terraced Duplex,Ikota Lekki Lagos," ₦ 3,500,000/year "
422,1 BEDROOM FLAT / APARTMENT FOR RENT,Studio Apartment,"Villa Estate, Ikota Lekki Lagos"," ₦ 1,000,000/year "
423,4 BEDROOM HOUSE FOR RENT,Luxury 4 Bedroom Detached Duplex + Bq,"Chevron Toll Gate, Chevron Lekki Lagos"," ₦ 8,500,000/year "
424,2 BEDROOM HOUSE FOR RENT,Serviced 2 Bedroom Apartment,Ologolo Lekki Lagos," ₦ 3,000,000/year "
425,2 BEDROOM FLAT / APARTMENT FOR RENT,Newly Built 2 Bedroom Apartment,Itedo Lekki Phase 1 Lekki Lagos," ₦ 7,000,000/year "
426,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terrace Duplex,Toll Gate Orchid Road Chevron Lekki Lagos," ₦ 3,800,000/year "
427,2 BEDROOM HOUSE FOR RENT,Luxury 2 Bedroom Terraced Duplex,"Chevron Toll Gate Orchid Road, Chevron Lekki Lagos"," ₦ 3,000,000/year "
428,4 BEDROOM HOUSE FOR RENT,Luxury 4 Bedroom Terraced Duplex,"Chevron Toll Gate Orchid Road, Chevron Lekki Lagos"," ₦ 4,000,000/year "
429,4 BEDROOM HOUSE FOR RENT,Furnished 4 Bedroom Semi Detached Duplex + Bq,Chevron Lekki Lagos," ₦ 7,000,000/year "
430,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terrace Duplex,Chevron Lekki Lagos," ₦ 4,500,000/year "
431,4 BEDROOM HOUSE FOR RENT,Luxury 4 Bedroom Maisonette + Bq,"Phase 1, Lekki Lagos"," ₦ 10,000,000/year "
432,4 BEDROOM HOUSE FOR RENT,New 4 Bedroom Terrace Duplex,Ologolo Lekki Lagos," ₦ 7,500,000/year "
433,4 BEDROOM HOUSE FOR RENT,4 Bedroom Detached Duplex,Chevron Lekki Lagos," ₦ 5,500,000/year "
434,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terrace Duplex,Ikate Lekki Lagos," ₦ 8,500,000/year "
435,3 BEDROOM HOUSE FOR RENT,Partly Furnished 3 Bedroom Apartment,Osborne Foreshore Estate Ikoyi Lagos," ₦ 12,000,000/year "
436,3 BEDROOM FLAT / APARTMENT FOR RENT,3 Bedroom Apartment,Banana Island Ikoyi Lagos," ₦ 16,000,000/year "
437,3 BEDROOM FLAT / APARTMENT FOR RENT,3 Bedroom Apartment,Oniru Victoria Island Lagos," ₦ 7,000,000/year "
438,5 BEDROOM HOUSE FOR RENT,Luxury 5 Bedroom Detached Duplex + Bq,"Chevron Toll Gate Orchid Road, Lekki Lagos"," ₦ 7,000,000/year "
439,5 BEDROOM HOUSE FOR RENT,5 Bedroom Detached Duplex,Chevron Lekki Lagos," ₦ 10,000,000/year "
440,4 BEDROOM HOUSE FOR RENT,4 Bedroom Terrace Duplex,Chevron Lekki Lagos," ₦ 3,800,000/year "
441,4 BEDROOM HOUSE FOR RENT,Luxury 4 Bedroom Terraced Duplex,"Chevron Toll Gate, Chevron Lekki Lagos"," ₦ 4,500,000/year "
442,5 BEDROOM HOUSE FOR RENT,Luxury 5 Bedroom Terraced Duplex,Victoria Island Lagos," ₦ 11,500,000/year "
443,3 BEDROOM HOUSE FOR RENT,Beautiful 3 Bedroom Apartment,Ikate Lekki Lagos," ₦ 4,000,000/year "
444,3 BEDROOM HOUSE FOR RENT,3 Bedroom Apartment,Ikoyi Lagos," ₦ 14,000,000/year "
445,4 BEDROOM HOUSE FOR RENT,4 Bedroom Semi Detached Duplex With Bq,Osapa London Lekki Lagos," ₦ 6,500,000/year "
446,4 BEDROOM HOUSE FOR RENT,Luxury 4 Bedroom Semi Detached Duplex + Bq,"Chevron Toll Gate, Lekki Lagos"," ₦ 5,000,000/year "
447,3 BEDROOM HOUSE FOR RENT,Serviced 3 Bedroom Apartment,Victoria Island Lagos," ₦ 15,000,000/year "
448,4 BEDROOM HOUSE FOR RENT,Serviced 4 Bedroom Terrace Duplex,Ikate Lekki Lagos," ₦ 7,500,000/year "
449,4 BEDROOM HOUSE FOR RENT,Beautiful 4 Bedroom Semi Detached Duplex,"Chevron Toll Gate, Lekki Lagos"," ₦ 6,000,000/year "
